date,energy_kwh,day_of_week,is_weekend,month,is_holiday,temp_mean,temp_max,temp_min,precipitation
2018-08-22,29.816,2,0,8,0,17.3,23.4,12.1,0.9
2018-08-23,9.474,3,0,8,0,21.7,29.0,15.1,0.4
2018-08-24,29.668000000000003,4,0,8,0,21.1,28.8,11.9,0.0
2018-08-25,0.0,5,1,8,0,21.4,29.4,12.9,0.8
2018-08-26,47.488,6,1,8,0,23.6,30.1,16.2,0.0
2018-08-27,44.544,0,0,8,0,23.8,31.5,15.9,0.0
2018-08-28,2.972,1,0,8,0,16.8,22.1,11.6,0.0
2018-08-29,13.669999999999998,2,0,8,0,19.3,28.7,10.9,0.0
2018-08-30,7.062,3,0,8,0,21.8,31.0,11.9,0.0
2018-08-31,25.048000000000002,4,0,8,0,22.1,29.9,15.7,0.0
2018-09-01,0.0,5,1,9,0,20.1,27.2,13.9,0.0
2018-09-02,0.0,6,1,9,0,19.0,25.1,11.9,0.1
2018-09-03,45.726,0,0,9,1,19.8,25.8,13.9,0.0
2018-09-04,2.046,1,0,9,0,19.5,25.4,11.9,0.6
2018-09-05,8.776,2,0,9,0,15.7,22.0,12.6,5.2
2018-09-06,6.188,3,0,9,0,15.7,20.0,11.8,1.5
2018-09-07,32.32,4,0,9,0,16.5,22.4,12.1,0.0
2018-09-08,0.0,5,1,9,0,17.5,26.1,11.1,0.3
2018-09-09,17.638,6,1,9,0,20.4,27.8,14.0,0.0
2018-09-10,24.736,0,0,9,0,20.1,29.0,11.8,0.0
2018-09-11,53.63,1,0,9,0,22.5,31.0,13.6,0.0
2018-09-12,16.104,2,0,9,0,23.4,31.8,13.6,0.0
2018-09-13,7.696,3,0,9,0,23.4,32.1,14.9,0.0
2018-09-14,0.0,4,0,9,0,24.0,31.5,14.4,0.0
2018-09-15,0.0,5,1,9,0,22.4,31.6,13.4,0.0
2018-09-16,12.102,6,1,9,0,23.8,31.2,15.5,0.0
2018-09-17,6.468,0,0,9,0,23.6,31.1,16.6,0.0
2018-09-18,25.144,1,0,9,0,21.9,29.4,14.7,0.0
2018-09-19,4.182,2,0,9,0,21.6,29.3,13.6,1.0
2018-09-20,55.576,3,0,9,0,18.9,26.3,13.6,2.1
2018-09-21,20.466,4,0,9,0,15.1,22.7,9.6,0.0
2018-09-22,11.882000000000001,5,1,9,0,18.8,28.5,8.2,0.0
2018-09-23,27.746,6,1,9,0,21.2,28.8,12.9,0.0
2018-09-24,18.286,0,0,9,0,18.4,26.0,11.9,0.8
2018-09-25,3.596,1,0,9,0,11.3,16.6,4.8,0.0
2018-09-26,54.438,2,0,9,0,12.0,19.7,6.5,0.0
2018-09-27,16.55,3,0,9,0,16.2,26.0,8.1,0.0
2018-09-28,19.03,4,0,9,0,7.3,12.3,3.2,0.1
2018-09-29,0.0,5,1,9,0,16.5,30.0,3.6,0.0
2018-09-30,45.254,6,1,9,0,8.7,14.6,4.5,0.2
2018-10-01,10.771999999999998,0,0,10,0,10.9,18.7,4.8,0.1
2018-10-02,24.666,1,0,10,0,17.3,25.0,10.2,0.0
2018-10-03,23.964,2,0,10,0,19.0,26.8,11.8,0.1
2018-10-04,25.724,3,0,10,0,10.9,17.9,7.2,0.5
2018-10-05,12.56,4,0,10,0,11.6,21.6,5.3,3.2
2018-10-06,5.71,5,1,10,0,7.3,12.1,3.5,2.8
2018-10-07,33.682,6,1,10,0,6.5,12.8,3.3,3.1
2018-10-08,32.764,0,0,10,1,2.8,4.6,1.6,5.6
2018-10-09,21.740000000000002,1,0,10,0,1.8,3.7,0.8,1.8
2018-10-10,51.844,2,0,10,0,-0.6,0.7,-2.3,2.8
2018-10-11,7.028,3,0,10,0,0.5,4.3,-2.2,0.4
2018-10-12,21.632,4,0,10,0,6.5,15.8,1.0,0.6
2018-10-13,6.49,5,1,10,0,8.2,15.6,0.5,2.7
2018-10-14,66.282,6,1,10,0,-6.5,-0.6,-12.1,7.4
2018-10-15,42.66,0,0,10,0,-7.1,3.8,-17.0,0.0
2018-10-16,3.7,1,0,10,0,0.5,9.8,-8.0,0.0
2018-10-17,29.244,2,0,10,0,3.6,12.4,-3.4,0.0
2018-10-18,4.532,3,0,10,0,6.4,14.7,-0.7,0.0
2018-10-19,16.578,4,0,10,0,10.8,16.8,4.7,0.0
2018-10-20,6.132,5,1,10,0,8.9,17.7,2.2,0.0
2018-10-21,40.798,6,1,10,0,11.9,20.9,4.1,0.0
