variant,p,d,q,P,D,Q,m,aic,bic,llf,fit_seconds,ok,error
no_exog,0,1,0,0,1,0,7,21544.938011575687,21550.481284922393,-10771.469005787843,0.019484758377075195,True,
no_exog,0,1,0,0,1,1,7,20329.85203073774,20340.931148396343,-10162.92601536887,0.3025360107421875,True,
no_exog,0,1,0,0,1,2,7,20257.48601105179,20274.093502440188,-10125.743005525896,1.1881778240203857,True,
no_exog,0,1,0,1,1,0,7,20981.475983166943,20992.556163807236,-10488.737991583472,0.035919904708862305,True,
no_exog,0,1,0,1,1,1,7,20328.70394505193,20345.32262153983,-10161.351972525965,0.39327216148376465,True,
no_exog,0,1,0,1,1,2,7,20258.88859504184,20281.031916893033,-10125.44429752092,1.9630467891693115,True,
no_exog,0,1,0,2,1,0,7,20676.065242251974,20692.67433406719,-10335.032621125987,0.0574488639831543,True,
no_exog,0,1,0,2,1,1,7,20269.124206649,20291.269662402618,-10130.5621033245,1.0320138931274414,True,
no_exog,0,1,0,2,1,2,7,20260.34296977384,20288.02212208783,-10125.17148488692,2.1554372310638428,True,
no_exog,0,1,1,0,1,0,7,20296.713504819698,20307.798991910437,-10146.356752409849,0.2733500003814697,True,
no_exog,0,1,1,0,1,1,7,19142.628728792355,19159.245809959826,-9568.314364396178,0.5970947742462158,True,
no_exog,0,1,1,0,1,2,7,19076.446199612416,19098.58738642219,-9534.223099806208,1.5144319534301758,True,
no_exog,0,1,1,1,1,0,7,19744.876528963046,19761.496799923483,-9869.438264481523,0.748089075088501,True,
no_exog,0,1,1,1,1,1,7,19143.82742566747,19165.983533890765,-9567.913712833735,0.8972899913787842,True,
no_exog,0,1,1,1,1,2,7,19077.4040215744,19105.08050508662,-9533.7020107872,2.3594369888305664,True,
no_exog,0,1,1,2,1,0,7,19477.781815261023,19499.92727101464,-9734.890907630512,1.507256031036377,True,
no_exog,0,1,1,2,1,1,7,19097.507241085295,19125.189060777317,-9543.753620542648,2.084259033203125,True,
no_exog,0,1,1,2,1,2,7,19079.036264627928,19112.248044842592,-9533.518132313964,2.683427095413208,True,
no_exog,0,1,2,0,1,0,7,20286.813739547324,20303.440379936903,-10140.406869773662,0.5542500019073486,True,
no_exog,0,1,2,0,1,1,7,19135.36931260626,19157.523292603913,-9563.68465630313,0.9612607955932617,True,
no_exog,0,1,2,0,1,2,7,19069.186941031818,19096.860754317004,-9529.593470515909,2.866535186767578,True,
no_exog,0,1,2,1,1,0,7,19745.179206744615,19767.339568025196,-9868.589603372307,0.7470102310180664,True,
no_exog,0,1,2,1,1,1,7,19136.2904592117,19163.98293420877,-9563.14522960585,1.4051892757415771,True,
no_exog,0,1,2,1,1,2,7,19070.13217844566,19103.340754387886,-9529.06608922283,2.382702112197876,True,
no_exog,0,1,2,2,1,0,7,19475.70024854668,19503.3820682387,-9732.85012427334,2.123046875,True,
no_exog,0,1,2,2,1,1,7,19099.503768328414,19132.72195195884,-9543.751884164207,2.923520088195801,True,
no_exog,0,1,2,2,1,2,7,19071.64122647249,19110.384565071752,-9528.820613236245,4.5985658168792725,True,
no_exog,0,1,3,0,1,0,7,20276.378810920756,20298.545543320284,-10134.189405460378,0.7023148536682129,True,
no_exog,0,1,3,0,1,1,7,19127.25674101226,19154.946554311104,-9558.62837050613,1.35237717628479,True,
no_exog,0,1,3,0,1,2,7,19061.51184021606,19094.717210173705,-9524.75592010803,3.154817819595337,True,
no_exog,0,1,3,1,1,0,7,19745.805177091424,19773.50562869215,-9867.902588545712,1.175318956375122,True,
no_exog,0,1,3,1,1,1,7,19128.348525221194,19161.576301179804,-9558.174262610597,1.8605561256408691,True,
no_exog,0,1,3,1,1,2,7,19062.273788800216,19101.013387084135,-9524.136894400108,5.279250144958496,True,
no_exog,0,1,3,2,1,0,7,19477.120750189242,19510.33893381967,-9732.560375094621,2.732072114944458,True,
no_exog,0,1,3,2,1,1,7,19101.003354682347,19139.757902251178,-9543.501677341173,3.2992918491363525,True,
no_exog,0,1,3,2,1,2,7,19063.840871774475,19108.114698384667,-9523.920435887238,4.8630359172821045,True,
no_exog,0,1,4,0,1,0,7,20265.204991274783,20292.910753550463,-10127.602495637391,0.9315049648284912,True,
no_exog,0,1,4,0,1,1,7,19115.02912827945,19148.253708498967,-9551.514564139725,1.6899378299713135,True,
no_exog,0,1,4,0,1,2,7,19048.56263229357,19087.298488262513,-9517.281316146786,5.048595905303955,True,
no_exog,0,1,4,1,1,0,7,19743.869828571555,19777.110370492428,-9865.934914285777,1.343372106552124,True,
no_exog,0,1,4,1,1,1,7,19115.651302545906,19154.41331280201,-9550.825651272953,2.2915849685668945,True,
no_exog,0,1,4,1,1,2,7,19049.440446537497,19093.709996216287,-9516.720223268749,5.421716928482056,True,
no_exog,0,1,4,2,1,0,7,19472.61206016259,19511.366607731423,-9729.306030081296,3.4909250736236572,True,
no_exog,0,1,4,2,1,1,7,19097.66016338714,19141.951074894376,-9540.83008169357,3.945931911468506,True,
no_exog,0,1,4,2,1,2,7,19050.81944167662,19100.622685065257,-9516.40972083831,6.842939853668213,True,
no_exog,1,1,0,0,1,0,7,21000.980062925366,21012.066609618778,-10498.490031462683,0.02118396759033203,True,
no_exog,1,1,0,0,1,1,7,19816.17234743203,19832.791023919934,-9905.086173716016,0.3973729610443115,True,
no_exog,1,1,0,0,1,2,7,19743.042484221995,19765.185806073187,-9867.521242110997,1.1605470180511475,True,
no_exog,1,1,0,1,1,0,7,20432.248146022557,20448.86682251046,-10213.124073011279,0.12473082542419434,True,
no_exog,1,1,0,1,1,1,7,19812.422592971787,19834.580828288992,-9902.211296485893,0.5052659511566162,True,
no_exog,1,1,0,1,1,2,7,19745.03125626118,19772.71040857517,-9867.51562813059,3.2340190410614014,True,
no_exog,1,1,0,2,1,0,7,20159.925096530933,20182.068418382125,-10075.962548265466,0.37700772285461426,True,
no_exog,1,1,0,2,1,1,7,19744.00837191788,19771.68752423187,-9867.00418595894,2.064481019973755,True,
no_exog,1,1,0,2,1,2,7,19745.35781628061,19778.5727990574,-9866.678908140306,3.1365959644317627,True,
no_exog,1,1,1,0,1,0,7,20296.740698335958,20313.368928972064,-10145.370349167979,0.27719998359680176,True,
no_exog,1,1,1,0,1,1,7,19144.618041984828,19166.774150208123,-9568.309020992414,0.8726768493652344,True,
no_exog,1,1,1,0,1,2,7,19078.443690147134,19106.120173659354,-9534.221845073567,1.7174451351165771,True,
no_exog,1,1,1,1,1,0,7,19734.946125831488,19757.104361148693,-9863.473062915744,0.9759271144866943,True,
no_exog,1,1,1,1,1,1,7,19145.827296870757,19173.522432149875,-9567.913648435378,1.2770838737487793,True,
no_exog,1,1,1,1,1,2,7,19079.403858176156,19112.61563839082,-9533.701929088078,2.9932591915130615,True,
no_exog,1,1,1,2,1,0,7,19465.57153975001,19493.250692064,-9727.785769875005,2.641493797302246,True,
no_exog,1,1,1,2,1,1,7,19090.123157182614,19123.338139959404,-9539.061578591307,3.769890069961548,True,
no_exog,1,1,1,2,1,2,7,19081.035656535143,19119.78273345225,-9533.517828267572,3.099997043609619,True,
no_exog,1,1,2,0,1,0,7,20255.20247369366,20277.371327546432,-10123.60123684683,0.8085711002349854,True,
no_exog,1,1,2,0,1,1,7,19431.3514796741,19459.043954671168,-9710.67573983705,2.8433892726898193,True,
no_exog,1,1,2,0,1,2,7,19341.508563873933,19374.71713981616,-9664.754281936966,8.286361932754517,True,
no_exog,1,1,2,1,1,0,7,19858.547108798193,19886.244902944698,-9924.273554399097,0.9638650417327881,True,
no_exog,1,1,2,1,1,1,7,19468.455553043113,19501.686523039596,-9728.227776521557,2.7774510383605957,True,
no_exog,1,1,2,1,1,2,7,19387.36127199952,19426.104610598784,-9686.68063599976,8.968830347061157,True,
no_exog,1,1,2,2,1,0,7,19604.31975240329,19637.53473518008,-9796.159876201646,4.79790735244751,True,
no_exog,1,1,2,2,1,1,7,19300.034259774242,19338.78507301383,-9643.017129887121,6.235612154006958,True,
no_exog,1,1,2,2,1,2,7,19400.303493515283,19444.581594771582,-9692.151746757641,7.21878719329834,True,
no_exog,1,1,3,0,1,0,7,20265.28218280392,20292.99059830333,-10127.64109140196,1.1168770790100098,True,
no_exog,1,1,3,0,1,1,7,19128.239218396087,19161.466994354698,-9558.119609198044,1.8884742259979248,True,
no_exog,1,1,3,0,1,2,7,19062.493345041126,19101.232943325045,-9524.246672520563,4.674669027328491,True,
no_exog,1,1,3,1,1,0,7,19736.56743233008,19769.80478530589,-9862.28371616504,1.5105390548706055,True,
no_exog,1,1,3,1,1,1,7,19129.32598851714,19168.091727135517,-9557.66299425857,1.6124138832092285,True,
no_exog,1,1,3,1,1,2,7,19063.29060771592,19107.564434326112,-9523.64530385796,4.616312026977539,True,
no_exog,1,1,3,2,1,0,7,19469.5459130612,19508.29672630079,-9727.7729565306,4.641182899475098,True,
no_exog,1,1,3,2,1,1,7,19092.68432705096,19136.970970753348,-9538.34216352548,4.8624467849731445,True,
no_exog,1,1,3,2,1,2,7,19064.878786796613,19114.68684173308,-9523.439393398306,6.582871913909912,True,
no_exog,1,1,4,0,1,0,7,20264.192754359166,20297.439669089985,-10126.096377179583,1.8513948917388916,True,
no_exog,1,1,4,0,1,1,7,19114.192269751402,19152.954280007507,-9550.096134875701,2.724760055541992,True,
no_exog,1,1,4,0,1,2,7,19047.719509268307,19091.989058947096,-9515.859754634153,7.164812803268433,True,
no_exog,1,1,4,1,1,0,7,19730.935480906828,19769.712392711936,-9858.467740453414,2.3669729232788086,True,
no_exog,1,1,4,1,1,1,7,19142.556202712127,19186.85564300482,-9563.278101356063,4.071409225463867,True,
no_exog,1,1,4,1,1,2,7,19048.607922354102,19098.41116574274,-9515.303961177051,7.9659552574157715,True,
no_exog,1,1,4,2,1,0,7,19458.811987051085,19503.098630753473,-9721.405993525543,5.278447866439819,True,
no_exog,1,1,4,2,1,1,7,19090.65867318963,19140.481147354818,-9536.329336594816,6.042543172836304,True,
no_exog,1,1,4,2,1,2,7,19049.825000765617,19105.161937864104,-9514.912500382809,7.718929052352905,True,
no_exog,2,1,0,0,1,0,7,20760.510681707266,20777.138912343373,-10377.255340853633,0.029314756393432617,True,
no_exog,2,1,0,0,1,1,7,19537.14247725613,19559.300712573335,-9764.571238628065,0.5619487762451172,True,
no_exog,2,1,0,0,1,2,7,19468.90166202542,19496.58081433941,-9729.45083101271,1.9834198951721191,True,
no_exog,2,1,0,1,1,0,7,20184.258507994622,20206.414616217917,-10088.129253997311,0.21972203254699707,True,
no_exog,2,1,0,1,1,1,7,19527.416805580153,19555.11194085927,-9758.708402790076,1.074695110321045,True,
no_exog,2,1,0,1,1,2,7,19470.634875582546,19503.849858359335,-9729.317437791273,3.3193840980529785,True,
no_exog,2,1,0,2,1,0,7,19896.68203495018,19924.3585184624,-9943.34101747509,0.5688631534576416,True,
no_exog,2,1,0,2,1,1,7,19460.627888644103,19493.839668858767,-9724.313944322052,1.809804916381836,True,
no_exog,2,1,0,2,1,2,7,19461.53771736629,19500.284794283398,-9723.768858683145,2.9020450115203857,True,
